satelite_id,Datetime,a0,a1,a2,AODE,C_rs,Delta n0,M0,C_uc,e,C_us,sqrt(A),T_oe,C_ic,OMEGA0,C_is,i0,C_rc,omega,OMEGA DOT,IDOT,Spare1,BDT Week,Spare2,SV accurracy,SatH1,TGD1,TGD2,t_tm,AODC
C29,2024-10-08 00:00:00,0.000345618813299,5.13367126587e-12,0.0,1.0,7.953125,4.13231498465e-09,-2.79003214637,2.7799978852299996e-07,9.531911928210001e-05,8.367933332919999e-07,5282.61684418,172800.0,2.1420419216200002e-08,-0.9368787149990001,-2.7939677238499997e-08,0.955050466028,338.390625,2.89942943244,-7.214586230760001e-09,-2.1643758692300002e-10,0.0,978.9999999999999,0.0,2.0,0.0,-2.99999997067e-10,-3e-10,172800.0,1.0
C29,2024-10-08 01:00:00,0.00034563813824200004,5.23847631939e-12,0.0,1.0,6.4375,4.18553148704e-09,-2.30402015473,3.65544110537e-07,9.55233117566e-05,8.307397365570001e-07,5282.616378780001,176400.0,2.56113708019e-08,-0.936904715442,-3.6321580409999996e-08,0.9550496599600001,336.90625,2.90098790394,-7.2210150699800005e-09,-2.12151694112e-10,0.0,978.9999999999999,0.0,2.0,0.0,-2.99999997067e-10,-3e-10,176400.0,1.0
C29,2024-10-08 02:00:00,0.00034565525129400004,5.01199082237e-12,0.0,1.0,13.875,4.188745906650001e-09,-1.80373541497,8.158385753629999e-07,9.522680193190001e-05,1.12829729915e-06,5282.6188221,180000.0,8.19563865662e-08,-0.936930936786,-2.84053385258e-08,0.95504882756,331.828125,2.88827399012,-7.243873164960001e-09,-1.76078762959e-10,0.0,978.9999999999999,0.0,2.0,0.0,-2.99999997067e-10,-3e-10,180000.0,1.0
C29,2024-10-08 03:00:00,0.000345672131516,4.85478324208e-12,0.0,1.0,14.953125,4.17945980556e-09,-1.30597278109,8.675269782539999e-07,9.54093411565e-05,1.54506415129e-06,5282.62075233,183600.0,8.428469300270001e-08,-0.9369574302320001,7.35744833946e-08,0.9550481970420001,324.75,2.87808152388,-7.244944638170001e-09,-1.02861427448e-10,0.0,978.9999999999999,0.0,2.0,0.0,-2.99999997067e-10,-3e-10,183600.0,1.0
C29,2024-10-08 04:00:00,0.000345694716088,5.34861044343e-12,0.0,1.0,20.734375,4.19267464173e-09,-0.8247142447730001,1.09476968646e-06,9.47824446484e-05,1.4370307326299999e-06,5282.61907578,187200.0,-2.4680048227300003e-08,-0.936983957326,9.359791874890001e-08,0.9550479761420001,327.71875,2.88439263586,-7.20065707913e-09,-3.1072722875099997e-11,0.0,978.9999999999999,0.0,2.0,0.0,-2.99999997067e-10,-3e-10,187200.0,1.0
C29,2024-10-08 05:00:00,0.000345709733665,4.767741756949999e-12,0.0,1.0,33.875,4.21981862953e-09,-0.34430392884100003,1.71409919858e-06,9.299966041e-05,1.66147947311e-06,5282.615360260001,190800.0,-4.98257577419e-08,-0.9370101040600001,2.70083546638e-08,0.955048081472,323.03125,2.89155246854,-7.14994068087e-09,-3.57157734196e-13,0.0,978.9999999999999,0.0,2.0,0.0,-2.99999997067e-10,-3e-10,190800.0,1.0
C29,2024-10-08 06:00:00,0.0003457297571,5.14521758532e-12,0.0,1.0,36.078125,4.22196157593e-09,0.143523200352,1.82911753654e-06,9.229674469680002e-05,1.94646418095e-06,5282.61398697,194400.0,-4.74974513054e-08,-0.937035848493,1.9092112779599998e-08,0.9550481048780001,318.375,2.89129653833,-7.14529763033e-09,1.7857886709799998e-12,0.0,978.9999999999999,0.0,2.0,0.0,-2.99999997067e-10,-3e-10,194400.0,1.0
C29,2024-10-08 07:00:00,0.000345750013366,5.36282129815e-12,0.0,1.0,42.140625,4.1837456983700005e-09,0.623656253809,2.04145908356e-06,9.32357506827e-05,1.7378479242299998e-06,5282.61625671,198000.0,-6.70552253723e-08,-0.937061682163,-2.421438694e-08,0.955047932254,324.5,2.89873503497,-7.1845849810900006e-09,1.50006248362e-11,0.0,978.9999999999999,0.0,2.0,0.0,-2.99999997067e-10,-3e-10,198000.0,1.0
C29,2024-10-08 08:00:00,0.00034576922189400003,5.34861044343e-12,0.0,1.0,48.484375,4.1533872909699995e-09,1.10345901255,2.2379681468e-06,9.36815049499e-05,1.7280690372e-06,5282.61791229,201600.0,-2.23517417908e-08,-0.9370877703810001,-5.6810677051500005e-08,0.955047870812,324.53125,2.90650301586,-7.21744349263e-09,4.4644716774499995e-11,0.0,978.9999999999999,0.0,2.0,0.0,-2.99999997067e-10,-3e-10,201600.0,1.0
C29,2024-10-08 09:00:00,0.00034578295890200006,4.7588599727499994e-12,0.0,1.0,45.953125,4.17088801994e-09,1.60114047642,2.08616256714e-06,9.373144712300002e-05,1.3662502169599998e-06,5282.6160583500005,205200.0,0.0,-0.937113877617,-3.6321580409999996e-08,0.9550480214920001,331.0,2.89639173571,-7.22494380505e-09,6.53598653579e-11,0.0,978.9999999999999,0.0,2.0,0.0,-2.99999997067e-10,-3e-10,205200.0,1.0
