Satelitenumber,Datetime,X,Y,Z,azimuth,zenith
E21,2024-09-18 14:00:00,-7664901.76973284,-16443145.121598586,23393215.07367937,322.1459707475088,68.42795386569715
E21,2024-09-18 14:10:00,-4787263.87747905,-16469261.253093727,24129185.463007458,318.04502304823535,63.28761501471371
E21,2024-09-18 14:10:00,-4895933.091902161,-16463468.499221412,24111327.037567478,318.2238721749379,63.46463613911649
E21,2024-09-18 14:10:00,-4874204.127017718,-16464596.78855303,24114958.751071706,318.1882660218412,63.42912853630426
E21,2024-09-18 14:10:00,-4874204.124746064,-16464596.78886045,24114958.751374397,318.18826601775515,63.42912853286248
E25,2024-09-18 12:20:00,20363923.81210519,21050688.67604282,4305280.209407691,135.65388778330419,72.49359512402593
E25,2024-09-18 12:20:00,20359112.784878876,21046207.94619896,4349800.320484979,135.6204531046173,72.40564075674787
E25,2024-09-18 12:20:00,20352316.627614684,21039837.220169343,4412103.175567453,135.5736108868604,72.28246940238238
E25,2024-09-18 12:20:00,20352641.856645618,21040143.1737392,4409137.04989163,135.5758423554395,72.28833563080674
E25,2024-09-18 12:30:00,20619799.74190709,21227659.589713722,708462.1593575375,138.24937017994588,79.46058025230876
E25,2024-09-18 12:30:00,20618307.267381895,21227571.525515333,753683.172912105,138.21805615325715,79.37437025835735
E25,2024-09-18 12:30:00,20616139.924735878,21227361.999593806,816988.1809967324,138.17416187527513,79.25363830488814
E25,2024-09-18 12:30:00,20616245.188031416,21227374.261614095,813973.7795419182,138.1762535196878,79.2593884476557
E27,2024-09-18 12:40:00,-4915599.675566318,-22104882.065763637,19065145.89894114,306.7965775428372,75.46026444286449
E27,2024-09-18 12:40:00,-4978245.092345128,-22163571.65898625,18980515.766876828,306.77242228836695,75.70594949945911
E27,2024-09-18 12:40:00,-4965754.882825837,-22151836.912650313,18997489.13058272,306.7773460461911,75.6568162438457
E27,2024-09-18 12:40:00,-4978245.092345128,-22163571.65898625,18980515.766876828,306.77242228836695,75.70594949945911
E27,2024-09-18 12:50:00,-3069767.26419392,-20539709.533971295,21095384.506102033,306.9729675572477,68.90712269442326
E27,2024-09-18 12:50:00,-3144886.410131516,-20597911.843033615,21027417.347325973,306.98405275564414,69.15222934056868
E27,2024-09-18 12:50:00,-3129898.2141871434,-20586265.448781054,21041063.188290577,306.98195550558404,69.10319990460653
E27,2024-09-18 12:50:00,-3144886.410131516,-20597911.843033615,21027417.347325973,306.98405275564414,69.15222934056868
E27,2024-09-18 13:00:00,-909567.577016981,-19028375.250935778,22659634.00917323,306.0719437242871,62.434411637648985
E27,2024-09-18 13:00:00,-978528.8699574708,-19072206.295515627,22619846.468822457,306.1174780416029,62.6259440414069
E27,2024-09-18 13:00:00,-978528.8699130648,-19072206.29551366,22619846.46882604,306.1174780415219,62.625944041341945
E27,2024-09-18 13:00:00,-995731.255456855,-19083181.81015716,22609829.177788198,306.1286675727335,62.673861045097446
E27,2024-09-18 13:10:00,1517835.937310409,-17643856.85684837,23723393.432740003,303.77674970825814,56.215281893036774
E27,2024-09-18 13:10:00,1422695.6056733849,-17692715.673054513,23692849.044532172,303.89234844854747,56.44110398863615
E27,2024-09-18 13:10:00,1441700.3775152226,-17682922.72772609,23699016.917692564,303.86942740599505,56.39588315453987
E27,2024-09-18 13:10:00,1441700.3802758534,-17682922.726782158,23699016.918297492,303.86942740178426,56.39588314894297
E27,2024-09-18 13:20:00,4149620.727029536,-16447627.424911212,24263229.616351333,299.70542783331587,50.51504082785935
E27,2024-09-18 13:20:00,4068393.7409729664,-16480285.252661886,24254801.094350226,299.8571906457882,50.675134923459154
E27,2024-09-18 13:20:00,4068393.742097257,-16480285.252288464,24254801.094442148,299.8571906435747,50.67513492138652
E27,2024-09-18 13:20:00,4048105.5176624474,-16488482.82531176,24252618.507054627,299.89482833241186,50.71528238543211
E27,2024-09-18 13:30:00,6910542.664436825,-15486318.108349124,24267273.180478767,293.4896857297492,45.71653229737455
E27,2024-09-18 13:30:00,6826626.174533628,-15511411.599289792,24274977.67114903,293.70966929125905,45.84283855362305
E27,2024-09-18 13:30:00,6826626.171640707,-15511411.600260857,24274977.67127528,293.7096692985363,45.84283855832009
E27,2024-09-18 13:30:00,6805653.766239619,-15517722.278498562,24276828.290207975,293.7643382796052,45.8746091227386
E27,2024-09-18 13:40:00,9716833.667904548,-14789191.653523915,23735487.005751368,285.0031860128259,42.31229418100679
E27,2024-09-18 13:40:00,9611814.878823947,-14810381.905061528,23764996.317380276,285.35920622669596,42.408548128326075
E27,2024-09-18 13:40:00,9632823.191486254,-14806112.78959073,23759153.562918205,285.28821400177566,42.38908332450808
E27,2024-09-18 13:40:00,9632823.191336222,-14806112.789660517,23759153.562935516,285.2882140022258,42.389083324746515
